EvaGreen at 20C Ct																																																																																																
		84	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	85	86	87	88	89	90	91	92	93	94	95	96
		VPA	GOI1	GOI2	GOI3	GOI4	GOI5	GOI6	GOI7	GOI8	GOI9	GOI10	GOI11	GOI12	GOI13	GOI14	GOI15	GOI16	GOI17	GOI18	GOI19	GOI20	GOI21	GOI22	GOI23	GOI24	GOI25	GOI26	GOI27	GOI28	GOI29	GOI30	GOI31	GOI32	GOI33	GOI34	GOI35	GOI36	GOI37	GOI38	GOI39	GOI40	GOI41	GOI42	GOI43	GOI44	GOI45	GOI46	GOI47	GOI48	GOI49	GOI50	GOI51	GOI52	GOI53	GOI54	GOI55	GOI56	GOI57	GOI58	GOI59	GOI60	GOI61	GOI62	GOI63	GOI64	GOI65	GOI66	GOI67	GOI68	GOI69	GOI70	GOI71	GOI72	GOI73	GOI74	GOI75	GOI76	GOI77	GOI78	GOI79	GOI80	GOI81	GOI82	GOI83	GOI84	GOI85	GOI86	GOI87	GOI88	GOI89	GOI90	GOI91	GOI92	GOI93	Neg Ctrl
9	RT353	15.46884438	13.73698347	8.458928188	14.93295027	14.82980038	12.0389579	9.318182286	11.9897126	10.63903235	13.99137684	10.47450411	6.20465737	10.75878908	17.49496826	8.81048714	13.68978246	16.97434868	13.63065136	14.56064149	16.38822016	5.327095099	11.35592661	15.08563864	10.71720713	7.487896083	13.39723071	9.167839742	14.27369618	17.31205878	5.36486274	8.097027434	11.01996252	16.58661619	5.845205637	5.575284591	14.47959256	22.41181297	16.75571822	10.63818716	12.31174095	17.91787654	5.769384742	9.121102231	13.83053134	12.05655104	13.62969057	16.24787551	7.760946789	7.525356564	5.959182289	12.57731027	15.81356915	7.072859107	9.890870022	7.298987995	13.4887631	16.1501938	8.207038545	11.55510436	13.42744023	7.611297044	12.91759473	13.14762048	16.15331833	7.765541033	12.01612145	5.382817366	9.355160099	13.45998097	11.56109311	10.63393768	4.81548212	4.811753573	10.93832791	8.470046857	14.13430941	15.81424444	8.769191695	14.62993965	10.55170163	6.350250489	15.27002905	13.27515428	5.088902231	11.34802392	7.702047572	12.78937866	14.65748457	12.93953496	14.7101769	8.992764209	21.30023516	8.73097973	7.141289004	999
10	RT361	17.6873438	13.37398772	8.357732466	15.47499464	16.04683704	11.53462218	11.37949852	10.58268433	10.09596274	13.9419835	8.752867332	5.8846484	9.671496888	14.78465499	9.774036346	14.32865046	12.82854146	13.73857997	11.36255219	10.89825522	6.797521254	10.31820897	17.52726175	13.61653457	7.489361615	12.86715612	8.881376559	15.71445131	20.0092499	6.150391689	7.513943954	11.47396741	15.14602942	5.403410393	6.908718389	14.32698188	19.95798758	19.75971636	8.834365781	11.72499155	18.89407108	7.119452799	9.11321749	16.7148553	11.26867033	10.01119228	10.8580546	7.523572746	8.161594003	5.024260395	12.19864039	12.95444847	7.607513297	6.808806923	6.650269608	10.57722066	19.39148057	7.127647453	10.77113222	12.40551826	6.820025117	10.86796293	12.9142921	14.8287007	8.520848512	13.73978645	5.972903213	7.744549238	14.94732386	10.82089375	10.03309343	4.855183914	4.788831853	13.57010346	8.068958333	14.13725402	12.82961633	9.962205517	14.15608297	10.00208938	6.601735803	14.47980572	12.6961051	4.922617576	12.23224705	7.278036371	12.44291248	12.23618051	11.21450355	14.3123968	8.487975655	22.25215023	8.770303622	6.48403044	999
13	RT290	17.45814033	14.39081855	14.78450212	14.55525195	19.43298538	11.49489126	14.37590873	10.5396521	10.32242518	15.13952159	10.06074738	9.669592555	10.35277214	14.50087313	10.49013152	13.37139618	14.61130592	16.40238794	14.49512531	12.43270402	7.815717636	10.76287103	16.22389235	11.45621401	7.442130894	12.43911321	8.450170077	15.95069773	19.64743105	11.75060228	7.064484097	10.79138848	13.8212467	9.738274616	13.73798192	17.022564	19.87512539	16.53299225	10.91061756	11.46078084	18.65882985	13.40661057	8.57459138	17.32575152	13.5504396	13.43072633	12.5344791	7.27710151	16.27803652	5.243353925	10.5397854	13.50171787	8.821699765	7.449353706	6.422767694	16.52416274	16.03063563	14.53591602	10.92644985	14.01567534	14.12453982	15.65054497	18.92958682	14.10079066	17.4357156	18.50993047	11.14739195	8.761425278	13.52421183	12.86108656	9.49803728	9.547908919	9.858463224	11.44832581	16.09133195	14.20130913	17.92939395	10.08397007	20.90638744	12.96691049	12.27910925	11.73617539	12.53267409	9.946608749	15.14288116	7.163743696	12.42482644	13.0910265	12.72253136	11.38045852	9.008939092	20.08186304	9.270836199	6.702534793	999
14	RT298	17.87040922	12.9988065	11.72794107	14.95965264	14.76882935	11.09960576	12.10951209	10.04624357	9.528096948	13.91359018	8.270581179	6.318225222	9.919013501	15.26261622	11.50626428	13.87430199	14.42801322	15.24010695	10.87069632	11.18712725	8.518212071	10.27056982	17.10834631	8.705923634	7.185508458	13.61370367	8.463506543	16.1168184	16.02088079	6.857991422	7.073028873	10.56633101	10.45490216	5.9118885	7.731245965	15.99378679	20.07571534	17.57791861	8.982173521	11.43491274	16.81826805	7.77919209	9.480925317	15.11768807	10.51282351	11.46958532	11.04706607	6.726184602	9.074033634	5.03922489	10.66430964	13.16457303	9.025360767	6.939254891	5.894928651	12.04647827	16.92150295	10.91771976	10.34270746	12.55927122	10.26581084	11.99842981	14.81031094	14.72396187	9.773604926	14.01126768	6.229671072	8.117360555	14.23745471	10.03489349	9.693883641	5.324494227	5.322357055	8.396156433	9.90227926	13.77557863	13.86971661	9.297709035	16.3835524	10.47146852	7.123524729	13.15052908	12.12245656	5.641890209	13.05707801	6.173458515	11.76205015	12.54872635	13.76023192	12.92234631	7.959555029	19.20796543	8.548579749	6.288698555	999
15	RT306	17.35941899	14.4208659	13.8587892	14.21546154	19.25511087	11.62078505	14.61843364	11.54919355	10.55688108	15.43106095	11.33275779	10.67207749	10.76374367	16.64007034	9.842934727	13.10497066	18.49675676	16.39490082	16.69511487	17.57572745	6.072824446	11.11710758	18.54851879	12.45361039	7.870577028	13.83485831	9.259396772	15.19600889	16.50546501	11.67532038	7.432481382	10.87679507	17.60804542	10.54553949	13.63515493	16.70735336	22.73903031	17.3245594	12.3913309	12.02483448	16.7210161	13.12938649	8.18956116	17.37308359	14.61110737	15.31308088	17.61189603	7.471276575	15.75160272	5.979243524	10.30126107	14.97759116	9.418302841	9.977227625	6.27400633	17.31237354	17.14717414	13.89279954	11.12628335	13.0195438	13.35132295	17.04447238	21.43617507	16.60781424	16.23827498	18.94834702	11.41906519	9.700650441	13.17629117	14.15463971	10.15469426	10.19899842	10.43089691	12.36658507	17.08459651	14.65469987	20.06943613	10.37476133	22.9538401	13.95797705	12.58839388	11.42661898	12.94564311	10.92462234	15.07579631	6.981853796	12.81101171	14.54323303	13.9818825	11.45068646	9.035264173	20.93947911	9.313901751	7.277643869	999
16	RT314	16.42533836	14.03572324	14.39121881	15.19064655	19.76392827	12.11441595	17.2587765	11.69598206	11.03451483	15.7367633	11.7579903	11.62566382	10.83776075	18.32740196	11.80220895	14.24996657	21.25081496	17.55005535	18.12264893	20.35894672	6.681421447	11.04046811	15.98937433	12.7592142	8.431495015	13.53422766	10.27372813	15.79888824	18.90049954	12.71251614	7.72864617	11.42852279	18.20116004	11.43111127	16.26767743	17.79570066	22.05791529	18.12908058	12.49455549	11.92912698	17.67520861	14.8326496	8.785839511	18.21198845	15.87928036	17.2729286	20.24979795	7.692157959	16.67935969	6.613637381	11.2405954	15.99870819	11.59322938	11.89100367	7.456604755	17.6316382	17.93086444	14.13889853	11.45681353	13.56900217	14.06516011	17.67566718	21.71707803	17.64199885	18.68272464	20.19012619	13.51208882	10.6519524	13.39186388	14.97739605	10.67296045	10.68366745	11.01655658	13.43805475	19.80999889	14.32629715	22.3643331	11.18164123	999	14.47547006	15.00358693	11.94122746	13.35206147	11.60965188	16.28636859	7.872398329	12.9339098	14.95583465	14.5672734	11.65505973	9.880296806	22.2281831	9.861393505	7.432126055	999
17	RT322	15.29915864	13.94156595	13.19693356	12.82451117	18.37815283	11.04416427	14.71190239	11.47619797	11.19561567	15.44498766	11.66668723	10.65878907	10.20305004	15.42534457	8.710246301	11.87922059	17.02313688	15.52310843	17.04252687	17.54376758	5.210681681	11.89242773	15.57248033	13.31479158	7.610012565	14.26310473	10.01099529	12.70235197	19.57523806	14.08591786	7.569563136	11.01310643	13.81874018	10.58769488	14.49486396	16.08519961	22.07845166	19.4069937	12.75543663	12.12143318	19.04927383	13.55582806	7.225167926	17.35340915	14.53946149	16.25460262	17.62261332	7.63480219	17.01054782	6.391209558	10.68423328	16.4205479	8.436967993	12.63121404	7.966032069	17.24309453	18.79028738	12.24133639	11.69590912	14.1957462	11.89860166	16.21280086	21.77550719	16.29940555	18.58443568	19.1457016	12.78263858	10.41237605	13.32815249	13.50806013	10.66079898	9.663471319	9.889528499	17.01203291	18.14313985	14.61858904	18.71567886	11.70030009	22.58804918	15.32119361	14.00493724	11.82815748	13.29330509	10.22382131	15.93792849	8.850509591	13.50057943	14.62505468	11.66164516	11.56333942	9.094024425	21.75485725	9.961564456	7.603541721	999
18	RT330	15.38112247	13.28592298	10.75566933	12.85218359	15.91051325	10.36763929	12.0372588	10.88816172	10.51562779	14.35056619	9.609636101	7.164205092	9.41690913	14.48875068	7.866890839	11.73008944	14.69086196	14.10712415	15.00546125	17.38504132	4.704591878	11.20603172	15.80034427	13.26117311	7.373219476	13.94121819	9.452862926	12.53032618	19.22322407	9.794107446	6.986984973	10.519437	12.86057048	6.87775423	9.857109622	14.67774309	20.95594513	19.25918127	10.67404645	11.77680407	18.56629039	9.841457195	6.946410291	16.26921225	14.52272738	13.63416265	17.19015308	7.23253154	12.49758567	5.595343886	11.19507831	15.715274	7.100946888	11.79318211	7.353724067	14.55693649	19.0207729	10.38848203	10.90949297	12.97854269	9.833397336	14.47495915	17.83639085	15.02464772	12.84033893	14.82554806	7.991491779	9.054251125	13.61399022	13.413707	10.44971306	6.835879892	6.824748691	16.47198571	12.75347868	14.09443083	17.55017035	9.868694513	16.60162059	12.84540795	9.034708635	12.63184787	12.80357604	6.338937115	13.63823012	7.982102397	12.75337869	13.66143808	10.45157088	12.16433079	8.26619705	22.38552129	9.002099183	6.957482742	999
19	RT338	16.80208608	14.35758118	13.13841799	14.97434967	18.37625592	12.26687295	13.53180488	11.86388401	10.65694089	14.41360836	12.05207675	11.48241558	10.41115159	16.49005516	10.00061835	13.94237739	19.27524671	15.28924844	17.61356809	21.22476818	8.157947673	11.59416146	16.20754579	12.66005799	7.759827003	13.90962274	9.883904453	15.76650903	17.0707121	12.49364338	8.008641372	11.60847632	16.70434258	11.35391968	13.37304312	15.84247662	22.21053116	17.16061301	12.52413735	12.03464172	17.81209945	13.1478359	8.935036896	17.26150199	15.16343639	15.44926509	21.22476757	7.663515869	15.75016783	6.26036645	11.21073193	15.03367447	8.521074483	10.48283394	7.421388108	16.83657054	16.47865139	13.10026099	11.54355509	12.31071131	12.53044123	17.17043062	22.28458652	16.53528328	16.33216725	18.40851568	10.82448776	10.17092407	13.72047656	14.32091654	10.28926626	10.20580042	10.34715104	13.25280202	17.37803156	14.39943262	21.20879605	9.570716092	21.63859748	13.35657956	12.136417	11.68639964	12.82278708	10.59014419	14.98592716	7.89903396	12.94625408	15.02808362	13.31730442	11.54964948	9.145364015	21.54012853	9.847719699	7.196986432	999
20	RT346	15.63009576	14.61484156	9.903178765	14.45577112	14.99922008	12.61280339	9.953064833	11.51576704	11.39247107	13.3796871	10.46039262	6.690477496	11.01567313	16.78436259	10.5168857	13.42265209	14.67446642	14.77776545	14.79685287	15.47917066	6.479705626	12.60834779	15.12330356	12.67423735	7.983451565	14.59514745	10.44206608	13.81508612	18.74234815	6.88744453	8.541816704	11.39809292	15.40675271	6.34136905	6.760244283	15.52248871	21.20678043	20.55753147	10.28695976	12.55326271	19.1683763	6.827273626	9.143094394	15.41045678	14.53869184	13.8583848	15.5128975	7.399786675	8.688880324	5.991409125	13.26460518	16.54964881	7.557633183	9.898170015	9.005464379	13.75558166	20.58910293	9.276922314	12.13706275	12.41427177	8.783780877	12.44885354	13.95799112	15.61861075	9.04512807	13.00693515	6.28506478	9.836047866	14.58584753	13.59877343	11.69525099	5.610082416	5.755227656	17.49399717	10.46977121	14.40123487	14.62176954	9.149945759	14.11932102	10.89791593	7.245433222	16.16929989	13.47775254	5.743672939	12.08852397	9.357794021	13.2591054	14.95601304	12.68951574	15.15979431	9.740353775	22.26110397	9.367636579	7.479619812	999
